"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","name"
"GO:0042802","identical protein binding",14,0.881881770979325,2.38999861102882,7.84896828176126e-08,1.26368389336356e-05,1.02449691256673e-05,190,"tags=43%, list=5%, signal=41%","BFJEKD_09300/BFJEKD_09325/BFJEKD_09330/BFJEKD_09305/BFJEKD_05975/BFJEKD_04980","identical protein binding"
"GO:0048038","quinone binding",11,0.885946572136078,2.2326273993958,2.7472441843491e-06,0.000221153156840103,0.000179293830978573,18,"tags=36%, list=0%, signal=36%","BFJEKD_09300/BFJEKD_09310/BFJEKD_09335/BFJEKD_09305","quinone binding"
"GO:0005840","ribosome",49,0.565198768277409,2.09428520818486,1.01805402378248e-05,0.00054635565942993,0.00044294280332992,521,"tags=37%, list=13%, signal=32%","BFJEKD_06260/BFJEKD_06265/BFJEKD_04600/BFJEKD_13105/BFJEKD_01860/BFJEKD_01855/BFJEKD_09835/BFJEKD_07670/BFJEKD_09830/BFJEKD_00850/BFJEKD_08760/BFJEKD_07580/BFJEKD_09185/BFJEKD_13260/BFJEKD_01995/BFJEKD_18795/BFJEKD_18800/BFJEKD_14135","ribosome"
"GO:0000166","nucleotide binding",54,0.539049774620487,2.03367101441991,2.60774372303282e-05,0.00104961684852071,0.000850947951726499,651,"tags=43%, list=17%, signal=36%","BFJEKD_16830/BFJEKD_15960/BFJEKD_00315/BFJEKD_02515/BFJEKD_16825/BFJEKD_06270/BFJEKD_12800/BFJEKD_06335/BFJEKD_00320/BFJEKD_07555/BFJEKD_13025/BFJEKD_03335/BFJEKD_03385/BFJEKD_02525/BFJEKD_18375/BFJEKD_10285/BFJEKD_18440/BFJEKD_18380/BFJEKD_18170/BFJEKD_06085/BFJEKD_03340/BFJEKD_18910/BFJEKD_03400","nucleotide binding"
"GO:0051539","4 iron, 4 sulfur cluster binding",42,0.582068927744915,2.06443636805455,4.0772994520904e-05,0.00131289042357311,0.0010643897517036,365,"tags=36%, list=9%, signal=33%","BFJEKD_03545/BFJEKD_09335/BFJEKD_09325/BFJEKD_09350/BFJEKD_09355/BFJEKD_09320/BFJEKD_18045/BFJEKD_14375/BFJEKD_00510/BFJEKD_01035/BFJEKD_07765/BFJEKD_09260/BFJEKD_08610/BFJEKD_15105/BFJEKD_12940","4 iron, 4 sulfur cluster binding"
"GO:0003723","RNA binding",55,0.519132308313482,1.99562530634505,0.000114918736648146,0.00273614630316681,0.00221825525722579,626,"tags=35%, list=16%, signal=29%","BFJEKD_18780/BFJEKD_06760/BFJEKD_07575/BFJEKD_01860/BFJEKD_06965/BFJEKD_07555/BFJEKD_05490/BFJEKD_11270/BFJEKD_08060/BFJEKD_07670/BFJEKD_09185/BFJEKD_18795/BFJEKD_14135/BFJEKD_05300/BFJEKD_18170/BFJEKD_01990/BFJEKD_06275/BFJEKD_07585/BFJEKD_16355","RNA binding"
"GO:0003735","structural constituent of ribosome",53,0.527020733128492,1.98655411046497,0.000118962882746383,0.00273614630316681,0.00221825525722579,562,"tags=36%, list=14%, signal=31%","BFJEKD_06260/BFJEKD_06265/BFJEKD_04600/BFJEKD_13105/BFJEKD_01860/BFJEKD_01855/BFJEKD_09835/BFJEKD_07670/BFJEKD_09830/BFJEKD_00850/BFJEKD_08760/BFJEKD_07580/BFJEKD_09185/BFJEKD_13260/BFJEKD_01995/BFJEKD_18795/BFJEKD_18800/BFJEKD_14135/BFJEKD_01990","structural constituent of ribosome"
"GO:0006412","translation",60,0.497609515679484,1.93100036993645,0.000239460849553278,0.00480783715373471,0.00389782155647665,562,"tags=33%, list=14%, signal=29%","BFJEKD_06260/BFJEKD_06265/BFJEKD_04600/BFJEKD_13105/BFJEKD_07550/BFJEKD_01860/BFJEKD_01855/BFJEKD_09835/BFJEKD_07670/BFJEKD_09830/BFJEKD_00850/BFJEKD_08760/BFJEKD_07580/BFJEKD_09185/BFJEKD_13260/BFJEKD_01995/BFJEKD_18795/BFJEKD_18800/BFJEKD_14135/BFJEKD_01990","translation"
"GO:0051082","unfolded protein binding",14,-0.75897570240449,-1.88086242023307,0.000268761083128027,0.00480783715373471,0.00389782155647665,398,"tags=50%, list=10%, signal=45%","BFJEKD_06430/BFJEKD_06880/BFJEKD_06435/BFJEKD_10700/BFJEKD_10705/BFJEKD_08500/BFJEKD_08495","unfolded protein binding"
"GO:0051536","iron-sulfur cluster binding",60,0.481083413163469,1.86686994423818,0.000613747591636723,0.00988133622535124,0.00801102119610039,373,"tags=25%, list=10%, signal=23%","BFJEKD_09295/BFJEKD_03545/BFJEKD_09335/BFJEKD_09355/BFJEKD_18045/BFJEKD_14375/BFJEKD_14905/BFJEKD_14995/BFJEKD_06690/BFJEKD_14900/BFJEKD_01035/BFJEKD_07765/BFJEKD_14985/BFJEKD_13725/BFJEKD_17575","iron-sulfur cluster binding"
"GO:0016651","oxidoreductase activity, acting on NAD(P)H",14,0.719231478599525,1.94919805741327,0.000890517076222728,0.0130339317519872,0.0105669011915424,25,"tags=29%, list=1%, signal=28%","BFJEKD_09310/BFJEKD_09325/BFJEKD_09330/BFJEKD_09320","oxidoreductase activity, acting on NAD(P)H"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",13,0.735764150653425,1.94258267253103,0.00101852376671826,0.0136651938701366,0.0110786795678126,14,"tags=15%, list=0%, signal=15%","BFJEKD_09310/BFJEKD_09335","NADH dehydrogenase (ubiquinone) activity"
"GO:0003676","nucleic acid binding",57,0.457725321077019,1.77420988397022,0.0012147455184829,0.0150441560365959,0.0121966351653344,691,"tags=35%, list=18%, signal=29%","BFJEKD_18780/BFJEKD_02140/BFJEKD_06760/BFJEKD_17570/BFJEKD_17565/BFJEKD_14865/BFJEKD_01860/BFJEKD_07555/BFJEKD_08610/BFJEKD_07745/BFJEKD_10035/BFJEKD_02120/BFJEKD_09185/BFJEKD_18375/BFJEKD_07125/BFJEKD_11995/BFJEKD_18380/BFJEKD_07585/BFJEKD_05955/BFJEKD_08485","nucleic acid binding"
"GO:0015562","efflux transmembrane transporter activity",13,-0.699668280680343,-1.70196461648536,0.00322679295770491,0.0371081190136064,0.0300843854703315,812,"tags=54%, list=21%, signal=43%","BFJEKD_03175/BFJEKD_04760/BFJEKD_03185/BFJEKD_18490/BFJEKD_12295/BFJEKD_13490/BFJEKD_12165","efflux transmembrane transporter activity"
