"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","51/569","241/14346",2.3238269293944e-23,5.01946616749191e-21,3.57135507043772e-21,"K01783/K00615/K00003/K00145/K03786/K00058/K11645/K01736/K00013/K02204/K01953/K04518/K00220/K04517/K00641/K00611/K00821/K01696/K01695/K02501/K00891/K01738/K00266/K00215/K00620/K00948/K01649/K00928/K14267/K01739/K01758/K00789/K21071/K00831/K02502/K00812/K00133/K01915/K01808/K00616/K00548/K01647/K01496/K00600/K00766/K13497/K01609/K00826/K01754/K00800/K01687",51
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","58/569","380/14346",4.58893241977259e-19,4.9560470133544e-17,3.52623228045683e-17,"K02495/K00762/K00208/K00939/K01955/K11753/K00798/K00609/K01465/K01918/K02303/K02548/K01591/K06134/K04719/K00788/K01920/K03185/K03183/K01495/K00059/K03809/K09458/K00254/K03639/K01491/K03179/K00768/K02233/K02231/K01756/K00643/K00789/K01809/K00128/K04487/K00831/K00868/K00767/K00278/K03517/K09903/K01885/K00954/K00946/K14652/K00793/K00600/K01698/K01937/K01939/K03707/K03186/K00963/K02858/K03750/K00826/K00355",58
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","53/569","377/14346",6.26745297075339e-16,4.51256613894244e-14,3.21069520607016e-14,"K00169/K03737/K01601/K01783/K01086/K03841/K00855/K00615/K11532/K02160/K01961/K00058/K03781/K11645/K17865/K00029/K00625/K13788/K00925/K00281/K00283/K00282/K02437/K00605/K14447/K14446/K00626/K01963/K01738/K01715/K01965/K01966/K08691/K00023/K00196/K25124/K01491/K00948/K15024/K21071/K00831/K14449/K01808/K00616/K01647/K00600/K00162/K00161/K18118/K01679/K01676/K01754/K14448",53
"Genetic Information Processing","Translation","ko03010","Ribosome","31/569","143/14346",5.90448885395017e-15,3.18842398113309e-13,2.26856677020191e-13,"K02919/K02879/K02948/K02952/K02874/K02961/K02946/K02992/K02950/K02935/K02864/K02863/K02867/K02913/K02916/K02887/K02956/K02968/K02902/K02945/K02939/K02963/K02990/K02986/K02970/K02909/K02959/K02899/K02888/K02996/K02871",31
"Metabolism","Carbohydrate metabolism","ko00630","Glyoxylate and dicarboxylate metabolism","25/569","118/14346",4.46491519314349e-12,1.92884336343799e-10,1.37237393305042e-10,"K01601/K03781/K17865/K05825/K00281/K00283/K00282/K02437/K00605/K14447/K14446/K00626/K01965/K01966/K08691/K00023/K01433/K14449/K01915/K01458/K01647/K01091/K00015/K00600/K14448",25
"Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","24/569","123/14346",7.54337375210094e-11,2.71561455075634e-09,1.93216239966094e-09,"K00939/K01494/K00943/K06928/K00769/K01951/K06287/K00856/K00088/K06966/K00942/K00759/K05810/K01756/K01488/K21053/K00525/K09903/K03787/K01937/K08723/K00364/K01939/K00761",24
"Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","24/569","133/14346",4.11566969343225e-10,1.26997807683052e-08,9.03590639460313e-09,"K00169/K03737/K02160/K01961/K01759/K00029/K00625/K13788/K00925/K00656/K01069/K00626/K01963/K00102/K01649/K15024/K13954/K00128/K00138/K00162/K00161/K18118/K01679/K01676",24
"Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","17/569","66/14346",4.84088856864703e-10,1.3070399135347e-08,9.29960172397982e-09,"K01878/K01870/K01868/K01889/K01890/K01867/K01869/K04566/K01883/K01892/K01880/K01881/K01885/K01874/K01866/K01876/K01875",17
"Metabolism","Amino acid metabolism","ko00260","Glycine, serine and threonine metabolism","19/569","110/14346",5.77748591478744e-08,1.38659661954899e-06,9.86564846267797e-07,"K00003/K00058/K00281/K00283/K00282/K02437/K00605/K02204/K01696/K01695/K00928/K01758/K00639/K00643/K00831/K00133/K00600/K16066/K01754",19
"Metabolism","Energy metabolism","ko00710","Carbon fixation by Calvin cycle","11/569","36/14346",8.44990395126268e-08,1.82517925347274e-06,1.298616817773e-06,"K01601/K01783/K01086/K03841/K00855/K00615/K11532/K11645/K00029/K01808/K00616",11
