"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","name"
"GO:0003700","DNA-binding transcription factor activity",135,-0.518156196482394,-1.94143856742109,2.5886769792884e-07,4.16776993665432e-05,3.43340315147725e-05,1037,"tags=50%, list=27%, signal=38%","BFJEKD_09665/BFJEKD_07170/BFJEKD_19105/BFJEKD_05720/BFJEKD_12460/BFJEKD_03600/BFJEKD_13035/BFJEKD_08385/BFJEKD_05235/BFJEKD_13620/BFJEKD_17620/BFJEKD_10080/BFJEKD_19110/BFJEKD_00105/BFJEKD_13020/BFJEKD_11760/BFJEKD_14205/BFJEKD_07780/BFJEKD_05625/BFJEKD_19200/BFJEKD_08380/BFJEKD_15645/BFJEKD_19615/BFJEKD_12855/BFJEKD_13780/BFJEKD_19710/BFJEKD_16555/BFJEKD_09405/BFJEKD_15005/BFJEKD_15190/BFJEKD_08465/BFJEKD_13820/BFJEKD_05030/BFJEKD_14255/BFJEKD_01715/BFJEKD_00735/BFJEKD_14670/BFJEKD_16540/BFJEKD_05470/BFJEKD_06060/BFJEKD_19575/BFJEKD_03040/BFJEKD_01610/BFJEKD_07495/BFJEKD_07600/BFJEKD_19320/BFJEKD_04215/BFJEKD_02855/BFJEKD_15140/BFJEKD_11060/BFJEKD_18255/BFJEKD_09380/BFJEKD_15255/BFJEKD_00525/BFJEKD_14655/BFJEKD_07555/BFJEKD_05415/BFJEKD_11220/BFJEKD_14405/BFJEKD_00960/BFJEKD_07465/BFJEKD_01390/BFJEKD_12995/BFJEKD_08970/BFJEKD_03780/BFJEKD_15590/BFJEKD_12170","DNA-binding transcription factor activity"
"GO:0006355","regulation of DNA-templated transcription",212,-0.455861207050137,-1.79346957829694,1.65186738450178e-06,0.000132975324452393,0.000109544889709065,1037,"tags=42%, list=27%, signal=33%","BFJEKD_09665/BFJEKD_07170/BFJEKD_19105/BFJEKD_05720/BFJEKD_04555/BFJEKD_12460/BFJEKD_03600/BFJEKD_13035/BFJEKD_08385/BFJEKD_04730/BFJEKD_11295/BFJEKD_05235/BFJEKD_13620/BFJEKD_17620/BFJEKD_10080/BFJEKD_19110/BFJEKD_16395/BFJEKD_00105/BFJEKD_13020/BFJEKD_14855/BFJEKD_11760/BFJEKD_14205/BFJEKD_17135/BFJEKD_07780/BFJEKD_05625/BFJEKD_19200/BFJEKD_08380/BFJEKD_15645/BFJEKD_00405/BFJEKD_07490/BFJEKD_19615/BFJEKD_12855/BFJEKD_13780/BFJEKD_19710/BFJEKD_16555/BFJEKD_09405/BFJEKD_15005/BFJEKD_14875/BFJEKD_17480/BFJEKD_15190/BFJEKD_12775/BFJEKD_11910/BFJEKD_04565/BFJEKD_08465/BFJEKD_13820/BFJEKD_15840/BFJEKD_05030/BFJEKD_17840/BFJEKD_14255/BFJEKD_01715/BFJEKD_00735/BFJEKD_14670/BFJEKD_05075/BFJEKD_16540/BFJEKD_03115/BFJEKD_05470/BFJEKD_06060/BFJEKD_14350/BFJEKD_19575/BFJEKD_16360/BFJEKD_04645/BFJEKD_03040/BFJEKD_01610/BFJEKD_07495/BFJEKD_15110/BFJEKD_07600/BFJEKD_19320/BFJEKD_04215/BFJEKD_02855/BFJEKD_15140/BFJEKD_11060/BFJEKD_18255/BFJEKD_09380/BFJEKD_15255/BFJEKD_05070/BFJEKD_00525/BFJEKD_05965/BFJEKD_14655/BFJEKD_05415/BFJEKD_11220/BFJEKD_14405/BFJEKD_00960/BFJEKD_07465/BFJEKD_01390/BFJEKD_15015/BFJEKD_12995/BFJEKD_08970/BFJEKD_03780/BFJEKD_15590/BFJEKD_12170","regulation of DNA-templated transcription"
"GO:0006099","tricarboxylic acid cycle",13,0.829238028200861,2.22160877733574,1.08002371534498e-05,0.000579612727235137,0.000477484168889358,360,"tags=77%, list=9%, signal=70%","BFJEKD_13985/BFJEKD_13980/BFJEKD_13950/BFJEKD_13995/BFJEKD_13990/BFJEKD_13945/BFJEKD_13975/BFJEKD_13940/BFJEKD_15955/BFJEKD_13935","tricarboxylic acid cycle"
"GO:0046933","proton-transporting ATP synthase activity, rotational mechanism",10,0.827856744292409,2.08556520097591,0.000136797505784287,0.00550609960781754,0.00453591729705793,326,"tags=70%, list=8%, signal=64%","BFJEKD_14060/BFJEKD_04800/BFJEKD_14055/BFJEKD_10400/BFJEKD_04805/BFJEKD_14050/BFJEKD_04810","proton-transporting ATP synthase activity, rotational mechanism"
"GO:0022625","cytosolic large ribosomal subunit",18,0.705024232387559,2.10063297318169,0.000185464469502421,0.00557944706646264,0.00459634083278387,739,"tags=72%, list=19%, signal=59%","BFJEKD_02010/BFJEKD_18800/BFJEKD_01875/BFJEKD_01895/BFJEKD_01880/BFJEKD_01930/BFJEKD_01890/BFJEKD_01935/BFJEKD_07400/BFJEKD_01945/BFJEKD_02020/BFJEKD_13865/BFJEKD_01920","cytosolic large ribosomal subunit"
"GO:0030976","thiamine pyrophosphate binding",11,0.820830433628407,2.09912430283226,0.000207929704340223,0.00557944706646264,0.00459634083278387,473,"tags=73%, list=12%, signal=64%","BFJEKD_10275/BFJEKD_18965/BFJEKD_10110/BFJEKD_13990/BFJEKD_17890/BFJEKD_02145/BFJEKD_02160/BFJEKD_01630","thiamine pyrophosphate binding"
"GO:0015658","branched-chain amino acid transmembrane transporter activity",12,0.779976380227684,2.04100341917246,0.00033611597100269,0.00773066733306188,0.00636851313478781,423,"tags=58%, list=11%, signal=52%","BFJEKD_06180/BFJEKD_06190/BFJEKD_07305/BFJEKD_16720/BFJEKD_05130/BFJEKD_05120/BFJEKD_16730","branched-chain amino acid transmembrane transporter activity"
"GO:0071973","bacterial-type flagellum-dependent cell motility",17,0.708026680256291,2.06402466434053,0.000406930416924641,0.00818947464060839,0.00674647796480325,673,"tags=65%, list=17%, signal=54%","BFJEKD_10495/BFJEKD_02745/BFJEKD_02740/BFJEKD_10405/BFJEKD_02765/BFJEKD_02675/BFJEKD_02670/BFJEKD_02665/BFJEKD_04430/BFJEKD_10490/BFJEKD_10480","bacterial-type flagellum-dependent cell motility"
"GO:0051301","cell division",17,0.701308525438703,2.04444003903045,0.00053264631426266,0.0091722115974814,0.00755605532057964,300,"tags=47%, list=8%, signal=44%","BFJEKD_12585/BFJEKD_12590/BFJEKD_12610/BFJEKD_12615/BFJEKD_12605/BFJEKD_12620/BFJEKD_12625/BFJEKD_12630","cell division"
"GO:0003735","structural constituent of ribosome",53,0.462907345846533,1.78782105602126,0.000569702583694497,0.0091722115974814,0.00755605532057964,809,"tags=47%, list=21%, signal=38%","BFJEKD_18795/BFJEKD_02010/BFJEKD_02015/BFJEKD_18800/BFJEKD_01875/BFJEKD_01895/BFJEKD_01880/BFJEKD_01885/BFJEKD_01930/BFJEKD_01890/BFJEKD_01935/BFJEKD_07400/BFJEKD_01940/BFJEKD_01900/BFJEKD_01945/BFJEKD_02020/BFJEKD_01915/BFJEKD_13865/BFJEKD_01955/BFJEKD_09820/BFJEKD_01920/BFJEKD_01950/BFJEKD_01905/BFJEKD_11300/BFJEKD_01910","structural constituent of ribosome"
